Date,Open,High,Low,Close,Adj Close,Volume,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average,10-day SMA,20-day SMA,50-day SMA,12-day EMA,26-day EMA,50-day EMA
2023-08-30,1729.676636,1730.564697,1697.147217,1705.112183,1705.112183,5023904190,1729.725708,1645.63916,1760.6894572666665,1671.9992502857144,1668.4430786999997,1719.8352662000002,1812.86183846,1692.079666636031,1732.85171489684,1776.6547916470306
2023-08-31,1705.364502,1720.011963,1634.850952,1645.63916,1645.63916,6593153505,1705.112183,1628.491211,1753.1510254666669,1669.9556188571426,1666.2800904,1709.7610046999998,1808.33234626,1684.934973307411,1726.3915256452221,1771.516923739304
2023-09-01,1645.581299,1653.531738,1603.03418,1628.491211,1628.491211,6104510092,1645.63916,1637.025391,1746.1310751000003,1666.4636405714284,1665.7399537000001,1698.7410705999998,1800.7719409800002,1676.2513175678093,1719.139650486317,1765.9080722593314
2023-09-02,1628.559692,1644.03064,1627.976074,1637.025391,1637.025391,2943590996,1628.491211,1636.117676,1739.5273722999998,1665.1377302857143,1661.5150514000002,1688.6283326,1794.72550788,1670.2165596343002,1713.0571127465898,1760.8538494648478
2023-09-03,1637.043579,1645.645142,1626.089233,1636.117676,1636.117676,3151878318,1637.025391,1629.655273,1733.1408651333334,1662.0812465714284,1659.132361,1678.22492685,1788.81853034,1664.9705775367156,1707.3578952098055,1755.9622348191676
2023-09-04,1635.724731,1642.653198,1618.523682,1629.655273,1629.655273,3887968912,1636.117676,1633.629395,1726.2964437333333,1658.8238002857142,1656.8043824000001,1668.36105355,1782.9379981,1659.5374537618363,1701.6021454164866,1751.0090206301807
2023-09-05,1629.911011,1645.948364,1610.141235,1633.629395,1633.629395,4417491902,1629.655273,1632.252319,1719.8353557,1645.0957555714288,1655.5366456,1659.7595704,1777.37766364,1655.5515985677077,1696.5671268671172,1746.4058980564482
2023-09-06,1633.912109,1656.932739,1611.147705,1632.252319,1632.252319,4987397046,1633.629395,1647.598267,1713.3458049,1634.6872035714284,1653.0105712999998,1657.12551275,1772.07072516,1651.9670940188296,1691.8030670251085,1741.929287113058
2023-09-07,1632.262817,1657.303711,1623.220459,1647.598267,1647.598267,4907290296,1632.252319,1636.137817,1706.4055013666666,1634.9670760000001,1652.5246583,1656.4581727,1767.2425318,1651.2949667851635,1688.528637393619,1738.2300314223498
2023-09-08,1647.807617,1657.136353,1617.796509,1636.137817,1636.137817,4598495496,1647.598267,1635.162354,1699.1335083666665,1636.0594482857143,1643.1658691999996,1654.79146735,1762.14590582,1648.963097587446,1684.6478358829804,1734.226415170493
2023-09-09,1636.050415,1636.870728,1629.660889,1635.162354,1635.162354,2081625742,1636.137817,1616.828857,1691.9471395666667,1635.793300142857,1636.1708863,1652.3069824999998,1757.00755134,1646.8399062663004,1680.9822446323892,1730.3415500265523
2023-09-10,1635.21167,1635.433105,1604.040527,1616.828857,1616.828857,4339499949,1635.162354,1551.637695,1684.2706217999998,1633.0377545714286,1633.289856,1649.7849732,1752.0458814,1642.2228217637926,1676.2301418448048,1725.8900718686482
2023-09-11,1616.769775,1618.305786,1533.426758,1551.637695,1551.637695,7693700923,1616.828857,1592.429443,1674.3622152,1621.892386285714,1625.6045044,1645.6722290500002,1745.2948023,1628.2866484155168,1667.0010717081525,1719.0566453247795
2023-09-12,1551.497803,1619.114014,1549.493774,1592.429443,1592.429443,6813819740,1551.637695,1607.988525,1666.133858266667,1616.0066788571426,1621.1449096000001,1641.3299805,1740.14334966,1622.770155274668,1661.4772473594005,1714.0908726845921
2023-09-13,1592.892334,1615.050293,1582.217529,1607.988525,1607.988525,4979469106,1592.429443,1626.974365,1658.2606160666667,1612.5404225714285,1618.3319944999998,1638.7321777500001,1735.1482812999998,1620.4960583093343,1657.5151197772227,1709.9299963048043
2023-09-14,1608.031616,1640.522705,1607.735352,1626.974365,1626.974365,5538958553,1607.988525,1641.640381,1651.5953369333333,1609.594150857143,1618.0639036999999,1637.43414305,1730.2445703599997,1621.4927208771292,1655.2528416455764,1706.676834292851
2023-09-15,1626.870117,1652.113159,1613.248657,1641.640381,1641.640381,4348584771,1626.974365,1635.22168,1646.1280477,1610.3802314285713,1618.8650022999998,1637.20082395,1725.87023442,1624.5923608960322,1654.2445112273856,1704.126385144112
2023-09-16,1641.446411,1649.988647,1632.577881,1635.22168,1635.22168,2819575929,1641.640381,1622.896729,1644.4709879666666,1610.3887065714284,1619.1619384,1636.08625485,1721.07977056,1626.2276407581812,1652.8354126179497,1701.424239844343
2023-09-17,1635.20105,1635.512939,1616.779297,1622.896729,1622.896729,3032716258,1635.22168,1637.347046,1643.20271,1611.2555454285714,1616.6917846000001,1634.60822145,1715.9163281800002,1625.7151927953842,1650.6177323499535,1698.344729615153
2023-09-18,1623.081909,1669.015381,1609.957397,1637.347046,1637.347046,5916674789,1622.896729,1643.544678,1642.1318807333334,1623.4997384285714,1616.8127075,1629.98928835,1711.4303931200002,1627.5047086730174,1649.6347185462532,1695.9526635910295
2023-09-19,1637.312012,1659.531738,1628.413208,1643.544678,1643.544678,4405868861,1637.347046,1622.890625,1640.7549683,1630.8019148571432,1617.6509399000001,1626.9109131,1707.1780396000001,1629.9723962617838,1649.183604431716,1693.8974484698126
2023-09-20,1643.495361,1649.619141,1610.420776,1622.890625,1622.890625,5156431986,1643.544678,1584.307007,1639.2756877,1632.9307862857145,1618.2571167,1625.77348635,1702.2000098199999,1628.8828929907402,1647.2359763256632,1691.112867157271
2023-09-21,1622.591797,1625.20459,1573.305786,1584.307007,1584.307007,5191732312,1622.890625,1593.268311,1637.6228353333333,1626.8354494285716,1621.5240479,1623.5642761499998,1697.1043555200001,1622.0250643767802,1642.574571190429,1686.9244020530643
2023-09-22,1584.002563,1601.53772,1579.101318,1593.268311,1593.268311,3460791634,1584.307007,1593.857788,1634.7559652333334,1619.9251537142857,1621.6079347,1621.37642215,1692.26699224,1617.60094847266,1638.9222556207676,1683.2516141686306
2023-09-23,1593.213135,1598.001709,1588.328979,1593.857788,1593.857788,2101436678,1593.268311,1580.853394,1632.5530721666667,1614.0160262857146,1620.1948610000002,1619.2634277500001,1687.5898901799999,1613.9481545537892,1635.584146908118,1679.7459739267235
2023-09-24,1593.825684,1600.207275,1576.783325,1580.853394,1580.853394,3086456944,1593.857788,1588.322876,1630.1503500000001,1608.0098355714288,1615.5827639000001,1616.8233338,1682.5071997600003,1608.8566529301295,1631.5300170630721,1675.8678335374402
2023-09-25,1580.747437,1595.844116,1565.025513,1588.322876,1588.322876,4394930984,1580.853394,1593.417236,1628.2175537666667,1601.0063827142858,1610.2510134000001,1614.5580078500002,1677.7244165599998,1605.6976103254942,1628.3294880954372,1672.4346979477368
2023-09-26,1588.023193,1598.097778,1580.165527,1593.417236,1593.417236,3544861160,1588.322876,1597.491211,1626.0810262333332,1593.8453195714285,1606.070569,1612.6162537,1673.05398442,1603.8083219677258,1625.743395347627,1669.3359739497864
2023-09-27,1593.108276,1631.910767,1585.368896,1597.491211,1597.491211,5533036096,1593.417236,1652.88269,1624.2488200333332,1590.2168318571428,1603.5300172000002,1610.1109009,1667.88766118,1602.836458741922,1623.6506409515066,1666.518532265481
2023-09-28,1597.671997,1666.02417,1597.294678,1652.88269,1652.88269,6658092168,1597.491211,1667.943848,1621.6873861,1600.0133580000002,1605.0835816,1610.94814455,1663.85936284,1610.5358789354723,1625.8159779180617,1665.9837933531094
2023-09-29,1652.999878,1687.28125,1648.656494,1667.943848,1667.943848,5529687537,1652.88269,1671.161865,1620.4484416000003,1610.681291857143,1607.5234986,1612.58721925,1660.20317144,1619.367874176169,1628.9365608870942,1666.0606582412229
2023-09-30,1667.834473,1692.531128,1666.563843,1671.161865,1671.161865,3155292192,1667.943848,1733.810425,1621.2991984333335,1621.7247314285712,1612.3506226,1615.30386965,1656.68392094,1627.3361804567585,1632.064361191754,1666.2607055650965
2023-10-01,1671.161499,1750.595703,1670.082153,1733.810425,1733.810425,5054880180,1671.161865,1663.627563,1624.8098389,1643.5757358571427,1627.3009643999999,1624.4125061500001,1654.3823315800003,1643.7168334634111,1639.6011066590315,1668.909714170387
2023-10-02,1732.984009,1743.563599,1646.077637,1663.627563,1663.627563,8420552922,1733.810425,1656.685669,1625.6965779666668,1654.3335482857142,1634.3368896,1627.9724121499999,1650.8692798200002,1646.7800226228865,1641.3808441657698,1668.7025709872344
2023-10-03,1662.887207,1670.356323,1644.49646,1656.685669,1656.685669,4742827302,1663.627563,1647.838135,1626.3821777333333,1663.3718958571428,1640.6196776999998,1630.4072693499998,1647.11927738,1648.3039682193655,1642.5145348942315,1668.2313199289115
2023-10-04,1656.735962,1657.25354,1629.426636,1647.838135,1647.838135,5127524863,1656.685669,1611.47644,1626.9882731333335,1670.5643135714286,1647.3181517999997,1631.45045785,1643.5373853,1648.2323015702323,1642.908875642807,1667.4315871866013
2023-10-05,1647.788208,1654.379028,1609.849976,1611.47644,1611.47644,5403759057,1647.838135,1645.831543,1626.2498412999998,1664.649135,1649.6335081999998,1629.9422608,1639.6537329399998,1642.5775536363503,1640.5805470766732,1665.2372676890875
2023-10-06,1611.365723,1659.609863,1611.365723,1645.831543,1645.831543,4941208729,1611.47644,1634.51123,1626.7024821,1661.4902342857142,1654.8749389,1630.47275395,1638.87169436,1643.078167384604,1640.9695097376605,1664.4762588777508
2023-10-07,1645.810913,1648.183716,1631.158203,1634.51123,1634.51123,2578994988,1645.831543,1633.548584,1626.2662475333334,1656.2544292857144,1658.5769408,1631.053479,1638.3430176,1641.7601770177419,1640.4911186459817,1663.3011597060743
2023-10-08,1634.657349,1641.182373,1618.189209,1633.548584,1633.548584,3315554175,1634.51123,1579.806641,1626.1799397666664,1641.9313091428571,1656.6435302000002,1630.8635559,1637.6245508000002,1640.4968550150122,1639.9768568203533,1662.1343920313263
2023-10-09,1633.454834,1635.447876,1553.006958,1579.806641,1579.806641,7020801716,1633.548584,1567.713013,1624.3347493333335,1629.9568917142858,1647.8298094999998,1627.6766540499998,1635.5236426000001,1631.1598990127027,1635.5198037966236,1658.9058527751959
2023-10-10,1580.112061,1593.741333,1553.031738,1567.713013,1567.713013,5254966125,1579.806641,1566.254761,1622.6975545333335,1617.2465122857143,1637.4849243,1624.91777345,1633.5325220000002,1621.398839626133,1630.4970785524292,1655.3296629800902
2023-10-11,1567.680786,1578.223511,1548.980469,1566.254761,1566.254761,5416504273,1567.713013,1539.612427,1623.1847900666664,1605.5917445714283,1620.7293579,1624.01516115,1632.17976566,1612.9151352221124,1625.7383883633604,1651.8365295691062
2023-10-12,1566.355957,1566.878174,1523.237549,1539.612427,1539.612427,5003930677,1566.254761,1552.089478,1621.4242228666665,1595.3254569999997,1608.3278443,1621.33236695,1629.38652592,1601.6377954956336,1619.3586875216301,1647.4355843703179
2023-10-13,1539.432861,1571.75061,1537.921143,1552.089478,1552.089478,4575141511,1539.612427,1555.256836,1619.5609212999998,1581.9337334285717,1597.8682251999999,1619.24395145,1627.22942388,1594.0149774193824,1614.3757831126204,1643.6965213754033
2023-10-14,1552.263794,1560.325073,1545.73877,1555.256836,1555.256836,2429214718,1552.089478,1558.069824,1617.170337,1570.6116771428572,1588.6100953,1617.96412355,1625.27585942,1588.052186431785,1609.9966018450189,1640.2282984195053
2023-10-15,1555.07605,1565.760864,1550.554565,1558.069824,1558.069824,2923337883,1555.256836,1600.534302,1614.3846517666666,1559.8289971428571,1583.2694336999998,1616.45147095,1623.51112064,1583.4395152884333,1606.150173856499,1637.0063974618777
2023-10-16,1558.313477,1628.15625,1555.989624,1600.534302,1600.534302,8846928526,1558.069824,1565.439575,1613.2284058333332,1562.7900915714285,1578.7397096,1616.80732425,1622.3715454399999,1586.0694824748282,1605.73418334861,1635.5761192084706
2023-10-17,1600.63562,1601.294678,1554.402954,1565.439575,1565.439575,5032686973,1600.534302,1563.749878,1611.313167366667,1562.4653147142858,1571.8325441000002,1615.2047424500001,1620.631189,1582.895650555624,1602.7493975450093,1632.8256664944129
2023-10-18,1565.382813,1584.726929,1556.736328,1563.749878,1563.749878,4354138855,1565.439575,1567.457031,1608.8599284333332,1562.1074742857145,1564.8526735,1610.7481018499998,1617.3116724,1579.950147085528,1599.860544245379,1630.1168120436516
2023-10-19,1563.95813,1573.737671,1543.585083,1567.457031,1567.457031,5035110867,1563.749878,1604.66687,1606.3236735333335,1566.085274857143,1563.6177125,1605.723761,1614.5585693599999,1578.028129226216,1597.4602840049806,1627.6595657282144
2023-10-20,1567.570923,1628.609009,1562.302856,1604.66687,1604.66687,6747486127,1567.457031,1629.304443,1605.7162150333336,1573.5963308571427,1567.3130982,1602.39901125,1613.7391235599998,1582.1263970375671,1597.994105189797,1626.7578913859315
2023-10-21,1604.822266,1641.241821,1593.447998,1629.304443,1629.304443,4212179634,1604.66687,1663.429932,1607.2161295666665,1584.1745604285716,1573.6180664,1597.1737121499998,1613.7553882,1589.3845579548645,1600.3133894720343,1626.8577561551108
2023-10-22,1629.297729,1667.666626,1623.984741,1663.429932,1663.429932,5248406817,1629.304443,1765.38269,1609.5548502666668,1599.2260044285715,1585.9998169,1597.1638306,1614.2834790199997,1600.7761539618082,1604.9886889185502,1628.2919591294203
2023-10-23,1674.849243,1794.070435,1663.447998,1765.38269,1765.38269,14362295879,1663.429932,1784.4375,1615.2723469999999,1622.7757741428572,1607.3291381000001,1602.5986816500001,1616.8687793000001,1626.1002364292224,1616.8697260356946,1633.6680662223844
2023-10-24,1766.014648,1852.684448,1758.690063,1784.4375,1784.4375,15888690475,1765.38269,1787.397583,1622.0584838666666,1654.061192,1630.2472045,1609.4286499,1619.9644238399999,1650.4598154401112,1629.2821537367545,1639.5805930371928
2023-10-25,1784.905029,1814.484741,1762.147095,1787.397583,1787.397583,9439066475,1784.4375,1804.039307,1628.6943074333333,1686.0108641428571,1653.1799804000002,1618.2247070500002,1623.0397876,1671.5271642954785,1640.994407756254,1645.3773377416167
2023-10-26,1787.481934,1865.095215,1764.013062,1804.039307,1804.039307,11196672635,1787.397583,1780.045288,1635.7150431333332,1719.8083321428571,1673.5304809000002,1626.1350952500002,1626.4755273600001,1691.9136477884817,1653.0718077002352,1651.5993757517492
