,Time,prices,MCap,Volume,Open,High,Low,Close
368,1648944000000,645.2264196102249,420984855.4164755,14978331.788845452,615.36,645.23,615.36,645.23
369,1649030400000,656.9510794412607,427458756.8314164,11687091.787516957,,,,
370,1649116800000,654.759769807726,426503886.59092486,13589003.01876218,,,,
371,1649203200000,645.2978930495273,420673777.9672017,11006444.925387667,,,,
372,1649289600000,586.36707034092,381947714.5964248,15909241.657609373,656.95,656.95,586.37,586.37
373,1649376000000,595.3307717802055,387668705.3483144,13453142.481948635,,,,
374,1649462400000,585.2570804766983,381270686.1752706,25977052.041037656,,,,
375,1649548800000,596.0254448026519,387399473.26438695,14307381.530482054,,,,
376,1649635200000,587.394792241224,383322749.0665337,13976536.285754826,595.33,596.03,585.26,587.39
377,1649721600000,534.3811017523756,348343566.4676477,17451985.5177275,,,,
378,1649808000000,535.6224637815428,348615835.723864,12841464.61138174,,,,
379,1649894400000,556.6975781188248,362141422.7738536,10311363.617713993,,,,
380,1649980800000,533.5781711414992,346767857.26361287,7723267.322643185,534.38,556.7,533.58,533.58
381,1650067200000,534.2503621589976,347657777.57080835,10139134.34884963,,,,
382,1650153600000,533.7352877351908,347196079.94032246,7438598.178972712,,,,
383,1650240000000,524.5977067283833,341543471.90553313,7743744.052459992,,,,
384,1650326400000,529.8630651555615,345098678.3054822,10856110.111508891,534.25,534.25,524.6,529.86
385,1650412800000,540.8676346974111,352455797.2515622,11094442.416613856,,,,
386,1650499200000,534.5309613209552,347743670.2310391,10550801.74770948,,,,
387,1650585600000,520.9041352839143,338635287.6381725,10315215.417607876,,,,
388,1650672000000,521.6550101559968,339917509.7029576,10761450.739642316,540.87,540.87,520.9,521.66
389,1650758400000,514.9774136691675,335203575.5550704,5251610.159366788,,,,
390,1650844800000,512.1006475257436,333717717.30367625,8585110.196294988,,,,
391,1650931200000,520.8461548615996,338904894.9900253,14147168.713720106,,,,
392,1651017600000,468.7709519044039,304879551.0580379,14836382.178296195,514.98,520.85,468.77,468.77
393,1651104000000,483.8424352006695,314511909.5645131,9842797.90264383,,,,
394,1651190400000,487.61777362570894,317714474.42516583,10865371.63383153,,,,
395,1651276800000,471.997885066504,307145565.5244588,11406216.38660797,483.84,487.62,472.0,472.0
396,1651363200000,454.13792173367244,294846357.9267449,8891365.127845483,,,,
397,1651449600000,468.3243144158544,304662160.3649524,12597711.714314058,,,,
398,1651536000000,481.0133623171966,312991735.45759904,20797130.318619784,454.14,481.01,454.14,481.01
399,1651622400000,470.7621174411333,306596305.16453606,16995105.64808978,,,,
400,1651708800000,499.64388205627046,325574241.71750766,15128803.378095124,,,,
401,1651795200000,462.1565602101884,300949894.26841533,16890714.387350623,,,,
402,1651881600000,447.40767930057905,291184180.7598741,11014236.704458132,470.76,499.64,447.41,447.41
403,1651968000000,441.2990318595739,288257395.40737367,9020655.919112088,,,,
404,1652054400000,418.9465118084617,272680715.6850935,10453189.399711668,,,,
405,1652140800000,366.6938691902478,240463591.8802385,17747986.336485602,,,,
406,1652227200000,372.76227338870154,242851303.99726555,20003972.36684248,441.3,441.3,366.69,372.76
407,1652313600000,317.09947694616403,207146840.54723835,23750123.014761873,,,,
408,1652400000000,293.74156671364227,191176347.62403423,28722635.07599094,,,,
409,1652486400000,302.30623392745866,196529264.62873155,16584675.030981964,,,,
410,1652572800000,311.01568306016225,202452054.15731508,10902125.794074887,317.1,317.1,293.74,311.02
411,1652659200000,323.41314397170333,210450323.88931453,9927898.10721664,,,,
412,1652745600000,299.5285779250401,195171384.34030846,10779806.424607905,,,,
413,1652832000000,311.29908072592315,202837134.4059094,9633550.096856259,,,,
414,1652918400000,281.9576147682287,184251102.61017677,11533485.561102983,323.41,323.41,281.96,281.96
415,1653004800000,298.90800054818624,194710091.2134976,11451084.01819432,,,,
416,1653091200000,291.3596273147032,190131911.11745185,8766332.75697692,,,,
417,1653177600000,292.95371900439415,191102085.75482243,6445057.376848477,,,,
418,1653264000000,302.36296998693894,197156280.63435063,7790131.810198157,298.91,302.36,291.36,302.36
419,1653350400000,292.2659754092754,190344584.65875474,8516276.276852958,,,,
420,1653436800000,295.41497127657027,192296196.09740323,5519668.805762631,,,,
421,1653523200000,290.4299539799736,189031243.60672623,16274772.164772846,,,,
422,1653609600000,269.70389263269664,176380989.55530426,19710095.268186796,292.27,295.41,269.7,269.7
423,1653696000000,255.54798921002492,166403992.69860715,18267991.96451731,,,,
424,1653782400000,270.00230609543854,175926473.90212846,12901317.33793674,,,,
425,1653868800000,274.04607479253264,178526863.02248123,12288875.191281198,,,,
426,1653955200000,315.05360674600183,204618825.79248106,27627254.47567675,255.55,315.05,255.55,315.05
427,1654041600000,300.4292032851912,195904387.15649197,20467106.769190013,,,,
428,1654128000000,281.71351774366013,184385468.3108754,20898203.486221742,,,,
429,1654214400000,281.5083013184207,183756955.18328723,18928132.516954966,300.43,300.43,281.51,281.51
430,1654300800000,268.8525368885496,174890083.67971683,13802915.259075688,,,,
431,1654387200000,275.2986804875294,178546622.9319648,9305699.324506534,,,,
432,1654473600000,274.49393122077123,179341090.408319,9547133.73334273,,,,
433,1654560000000,283.38979920772795,184716210.05239853,26404257.302655797,268.85,283.39,268.85,283.39
434,1654646400000,277.8049691577753,182301270.27545163,17343001.266483203,,,,
435,1654732800000,271.20262852029373,176920736.67678073,12410649.30283839,,,,
436,1654819200000,268.3273884678863,175076636.34139702,9623437.33344266,,,,
437,1654905600000,249.39647704890362,162593792.53752926,11612780.015472066,277.8,277.8,249.4,249.4
438,1654992000000,230.4370010074077,149731488.19228005,13924046.481017882,,,,
439,1655078400000,215.43484495340118,142149721.23777065,15451136.62886118,,,,
440,1655164800000,178.9277129302392,115984706.90526022,21544962.659304418,,,,
441,1655251200000,181.16149140964376,118087832.1363485,10225843.488669155,230.44,230.44,178.93,181.16
442,1655337600000,182.9919288183161,119244168.54208277,10470413.557770668,,,,
443,1655424000000,157.4205251405066,102637608.15983383,4505735.233917867,,,,
444,1655510400000,160.4673408304023,104853887.24224582,2896472.272397576,,,,
445,1655596800000,146.77325921847097,95521021.47886226,5170816.427361911,182.99,182.99,146.77,146.77
446,1655683200000,166.58234249076068,108466700.39474404,11042276.343272725,,,,
447,1655769600000,165.80513684185712,107309939.39577919,5448102.367719828,,,,
448,1655856000000,165.7256203806534,108090019.00381868,4284662.42076337,,,,
449,1655942400000,155.70779805020075,101557085.89160015,3979524.79210376,166.58,166.58,155.71,155.71
450,1656028800000,168.36616486921778,109681505.29609795,2814581.367130693,,,,
451,1656115200000,180.2486881635086,118183800.72096139,5534211.009923205,,,,
452,1656201600000,183.8007283835096,119599909.48895507,3807802.8339269855,,,,
453,1656288000000,176.0989945478597,114810444.360334,5236214.054280924,168.37,183.8,168.37,176.1
454,1656374400000,175.43478883288398,114284181.29647867,3299575.318187884,,,,
455,1656460800000,165.69977390398614,108079387.28106274,2840935.8929482056,,,,
456,1656547200000,158.79428983230312,103524800.8202961,3352144.1176762525,175.43,175.43,158.79,158.79
457,1656633600000,138.35329242873007,89149898.88249384,7702019.796717919,,,,
458,1656720000000,120.93201633389637,79128615.18143594,21474627.905729398,,,,
459,1656806400000,115.8619190367532,75526826.40929739,8256061.483535171,138.35,138.35,115.86,115.86
460,1656892800000,111.37887484726939,74052371.61580604,5191140.019390772,,,,
461,1656979200000,117.64683295277398,79087392.1548394,5159972.432227829,,,,
462,1657065600000,113.68315173567953,77163356.44304901,4905298.994235953,,,,
463,1657152000000,117.99948973917535,81112404.07920535,5751850.77757812,111.38,118.0,111.38,118.0
464,1657238400000,119.77870791821472,82569122.9609532,7800714.9271625,,,,
465,1657324800000,116.16441501112713,80810231.86143544,6639627.776059479,,,,
466,1657411200000,115.50437403946151,80271903.81842518,5162773.579276929,,,,
467,1657497600000,108.5749352796701,76269618.75442219,4430995.948897658,119.78,119.78,108.57,108.57
468,1657584000000,98.97486848510535,70368279.82389298,5077068.890943433,,,,
469,1657670400000,92.33686615635044,66485239.43939154,9917283.817689376,,,,
470,1657756800000,96.78061710867878,70073704.31160682,7055558.443020442,,,,
471,1657843200000,102.9353076824957,74857409.0446027,7847808.787919579,98.97,102.94,92.34,102.94
472,1657929600000,102.84490544282701,74729637.02029477,6575032.714498175,,,,
473,1658016000000,117.71492787922084,85280830.5023406,38069215.37333644,,,,
474,1658102400000,111.66221366915234,81263741.84369925,12316526.656213127,,,,
475,1658188800000,127.70589127054853,93006568.8145649,10069530.26884558,102.84,127.71,102.84,127.71
476,1658275200000,128.21938591616376,92915476.0174243,17194795.010953527,,,,
477,1658361600000,125.11077823345227,91824384.01824877,16009711.801112857,,,,
478,1658448000000,126.89985705162049,92562447.4446429,9829865.14988989,,,,
479,1658534400000,119.23163275550395,86790142.6011244,8728801.671493962,128.22,128.22,119.23,119.23
480,1658620800000,116.77879082868516,85066484.79741934,5545758.38167384,,,,
481,1658707200000,116.43421995783605,84881499.18578263,5134075.275492335,,,,
482,1658793600000,104.16726203262317,76616355.57507743,4985149.673257275,,,,
483,1658880000000,105.76065198942459,75488070.12709484,4759396.9399829935,116.78,116.78,104.17,105.76
484,1658966400000,115.7315649838802,83878983.9569237,7123956.054196601,,,,
485,1659052800000,117.69396455104805,85547706.39536382,9945488.95994118,,,,
486,1659139200000,121.42948683332642,89548951.22649764,13003207.081731679,,,,
487,1659225600000,117.52794350721956,85232009.21525365,11156810.780626768,115.73,121.43,115.73,117.53
488,1659312000000,117.52416956262623,85650340.80366239,13143506.224257369,,,,
489,1659398400000,115.67385590952175,84197801.03183134,7562681.844401309,,,,
490,1659484800000,114.6697675160081,83582705.39381024,6447454.323417322,117.52,117.52,114.67,114.67
491,1659571200000,112.88345225426666,81647570.26276267,4955144.711552507,,,,
492,1659657600000,111.1041271549851,80608244.51449533,5047353.392453272,,,,
493,1659744000000,116.14129774226278,84544344.29528289,5761438.150895964,,,,
494,1659830400000,112.88037948836298,82145752.6196296,4609964.16970149,112.88,116.14,111.1,112.88
495,1659916800000,112.4198946243259,81690532.02924067,3636640.859542162,,,,
496,1660003200000,112.73892442165642,81939182.32166807,8977916.647912636,,,,
497,1660089600000,106.066550546317,77162820.61501755,5687749.780326145,,,,
498,1660176000000,114.75572298261562,83406900.31899989,9254590.174860159,112.42,114.76,106.07,114.76
499,1660262400000,116.46419979409269,84384824.88669175,18513472.378021903,,,,
500,1660348800000,120.2028373516326,87399234.4021686,5584253.026348658,,,,
501,1660435200000,116.99694880198672,85114423.15171307,7208757.862849259,,,,
502,1660521600000,112.92283012236281,82147872.83158466,5628400.309521102,116.46,120.2,112.92,112.92
503,1660608000000,109.04949389768014,79315608.73642905,8214479.008435215,,,,
504,1660694400000,106.66456974159081,77308123.55529357,6516389.650489662,,,,
505,1660780800000,102.87591272899253,74835561.89370757,5830666.096185601,,,,
506,1660867200000,103.11301459109826,75152635.11526051,4340407.89277299,109.05,109.05,102.88,103.11
507,1660953600000,90.36206110341253,65887229.41869505,7862238.315114475,,,,
508,1661040000000,90.492223442648,65664857.44420676,10075888.351648495,,,,
509,1661126400000,92.40960692106474,67154644.50618137,4214758.883461873,,,,
510,1661212800000,90.44175851714573,65465677.89005263,4193246.9730792386,90.36,92.41,90.36,90.44
511,1661299200000,91.82167508177139,66772519.407230824,4841456.461709584,,,,
512,1661385600000,89.78926045766202,65185502.937011056,4458936.365790865,,,,
513,1661472000000,91.75920003075673,66747727.12483696,4692428.013322712,,,,
514,1661558400000,78.87138208228355,57272111.62499337,6774447.974939537,91.82,91.82,78.87,78.87
515,1661644800000,78.44734434632167,57061135.96191229,4599768.864722104,,,,
516,1661731200000,74.68614795605444,54477417.30711918,2650907.4496662538,,,,
517,1661817600000,79.82386074156771,58278458.9776204,4572229.42476345,,,,
518,1661904000000,77.28259487315606,56259785.70694497,4607698.08830989,78.45,79.82,74.69,77.28
519,1661990400000,77.67119632992,56462698.7156219,3764917.1885464136,,,,
520,1662076800000,78.62427420533618,57074045.97502274,10789968.438060267,,,,
521,1662163200000,76.40494963025088,55514485.4987764,3684635.5221536267,77.67,78.62,76.4,76.4
