"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","6.94","6.74","6.97","6.67","407.47K","2.97%"
"11/07/2023","6.74","6.84","7.24","6.55","960.07K","-1.46%"
"11/06/2023","6.84","6.57","6.97","6.53","526.03K","4.11%"
"11/05/2023","6.57","6.56","6.73","6.49","305.28K","0.00%"
"11/04/2023","6.57","6.65","6.69","6.46","217.92K","-1.20%"
"11/03/2023","6.65","6.60","6.80","6.28","632.49K","0.61%"
"11/02/2023","6.61","6.58","6.67","6.32","561.76K","0.76%"
"11/01/2023","6.56","6.16","6.60","5.97","603.57K","6.49%"
"10/31/2023","6.16","6.44","6.53","6.03","444.79K","-4.35%"
"10/30/2023","6.44","6.39","6.54","6.22","435.01K","0.78%"
"10/29/2023","6.39","6.36","6.44","6.24","298.93K","0.47%"
"10/28/2023","6.36","6.15","6.49","6.13","376.50K","3.41%"
"10/27/2023","6.15","6.31","6.31","6.04","275.94K","-2.54%"
"10/26/2023","6.31","6.28","6.46","5.96","715.89K","0.48%"
"10/25/2023","6.28","6.22","6.42","6.09","504.25K","0.80%"
"10/24/2023","6.23","6.08","6.52","5.92","1.02M","2.98%"
"10/23/2023","6.05","5.80","6.08","5.76","762.77K","4.31%"
"10/22/2023","5.80","5.79","5.83","5.62","472.09K","0.17%"
"10/21/2023","5.79","5.52","6.05","5.47","779.51K","4.89%"
"10/20/2023","5.52","5.39","5.55","5.34","203.22K","2.41%"
"10/19/2023","5.39","5.48","5.49","5.32","226.13K","-1.82%"
"10/18/2023","5.49","5.61","5.67","5.44","290.91K","-2.14%"
"10/17/2023","5.61","5.85","5.87","5.57","221.96K","-4.10%"
"10/16/2023","5.85","5.72","5.94","5.72","422.58K","2.27%"
"10/15/2023","5.72","5.67","5.82","5.65","230.78K","0.88%"
"10/14/2023","5.67","5.69","5.81","5.65","379.65K","-0.35%"
"10/13/2023","5.69","5.70","5.82","5.66","211.14K","-0.18%"
"10/12/2023","5.70","5.72","5.75","5.53","250.51K","-0.35%"
"10/11/2023","5.72","5.85","5.89","5.54","387.57K","-2.22%"
"10/10/2023","5.85","5.80","5.98","5.75","278.70K","0.86%"
"10/09/2023","5.80","6.01","6.05","5.68","557.33K","-3.65%"
"10/08/2023","6.02","5.95","6.24","5.89","601.16K","1.01%"
"10/07/2023","5.96","6.04","6.22","5.92","464.27K","-1.32%"
"10/06/2023","6.04","5.73","6.33","5.71","1.20M","5.41%"
"10/05/2023","5.73","5.89","5.93","5.71","270.16K","-2.72%"
"10/04/2023","5.89","5.98","6.03","5.75","510.47K","-1.51%"
"10/03/2023","5.98","6.62","6.86","5.93","1.29M","-9.67%"
"10/02/2023","6.62","6.68","6.73","6.40","1.72M","-0.75%"
"10/01/2023","6.67","5.44","7.14","5.44","5.60M","22.61%"
"09/30/2023","5.44","5.55","5.58","5.43","808.72K","-1.98%"
"09/29/2023","5.55","5.57","5.60","5.47","211.21K","-0.36%"
"09/28/2023","5.57","5.43","5.59","5.41","237.49K","2.58%"
"09/27/2023","5.43","5.55","5.62","5.39","429.06K","-2.16%"
"09/26/2023","5.55","5.53","5.57","5.43","182.26K","0.36%"
"09/25/2023","5.53","5.44","5.55","5.43","236.98K","1.84%"
"09/24/2023","5.43","5.63","5.65","5.42","227.13K","-3.55%"
"09/23/2023","5.63","5.71","5.79","5.48","316.69K","-1.40%"
"09/22/2023","5.71","5.57","5.73","5.45","363.07K","2.51%"
"09/21/2023","5.57","5.86","5.98","5.53","498.37K","-4.95%"
"09/20/2023","5.86","5.94","5.94","5.72","415.84K","-1.18%"
"09/19/2023","5.93","5.77","5.95","5.72","456.94K","2.60%"
"09/18/2023","5.78","5.79","5.93","5.73","423.33K","-0.17%"
"09/17/2023","5.79","6.07","6.07","5.70","524.88K","-4.61%"
"09/16/2023","6.07","6.14","6.26","5.99","676.77K","-0.98%"
"09/15/2023","6.13","5.94","6.20","5.80","1.22M","3.20%"
"09/14/2023","5.94","6.00","6.10","5.89","479.57K","-1.00%"
"09/13/2023","6.00","5.94","6.21","5.80","883.09K","1.18%"
"09/12/2023","5.93","5.86","6.17","5.80","559.86K","1.19%"
"09/11/2023","5.86","6.33","6.37","5.76","684.15K","-7.42%"
"09/10/2023","6.33","6.35","6.50","5.91","1.04M","-0.31%"
"09/09/2023","6.35","6.79","6.87","6.27","1.09M","-6.62%"
"09/08/2023","6.80","6.81","7.09","6.60","1.38M","-0.29%"
"09/07/2023","6.82","7.27","7.34","6.68","1.85M","-6.19%"
"09/06/2023","7.27","7.46","7.46","7.03","1.23M","-2.42%"
"09/05/2023","7.45","7.82","7.90","7.25","2.14M","-5.34%"
"09/04/2023","7.87","6.81","8.34","6.78","4.59M","15.74%"
"09/03/2023","6.80","6.83","6.93","6.59","611.07K","-0.15%"
"09/02/2023","6.81","7.20","7.35","6.65","1.34M","-5.02%"
"09/01/2023","7.17","6.91","7.27","6.91","844.99K","3.76%"
"08/31/2023","6.91","7.48","7.57","6.87","1.60M","-7.50%"
"08/30/2023","7.47","7.18","7.74","7.02","2.06M","4.04%"
"08/29/2023","7.18","7.22","7.43","6.97","1.89M","-0.83%"
"08/28/2023","7.24","7.90","7.95","6.95","2.16M","-8.93%"
"08/27/2023","7.95","7.04","8.09","7.01","3.18M","12.29%"
"08/26/2023","7.08","6.60","7.43","6.50","2.71M","6.95%"
"08/25/2023","6.62","6.86","7.02","6.49","1.66M","-3.07%"
"08/24/2023","6.83","6.39","7.47","6.37","4.09M","7.05%"
"08/23/2023","6.38","5.83","6.71","5.79","4.20M","9.81%"
"08/22/2023","5.81","6.06","6.17","5.60","1.73M","-3.97%"
"08/21/2023","6.05","6.18","6.37","5.92","1.25M","-2.10%"
"08/20/2023","6.18","6.36","6.45","6.13","935.13K","-2.68%"
