Adj Close,upper_shadow,lower_shadow,open2close,high2low,high2mean,low2mean,high2median,low2median,Price,Market_cap,Supply,BlockSize,BlockDifficulty,Hash_count,Growth Value
723.339,1.01727,1.0257274,1.0554886,1.1013407,1.0464761,0.95018387,1.0447315,0.94859976,720.36,70689.0556093725,98130178.8125,18612,3148.891,257997.7068,608899
699.831,1.024997,1.0242409,0.96607566,1.0867097,1.042118,0.95896626,1.0426831,0.95948637,697.02,68412.888868035,98150539.25,21668,3190.981,259747.3582,677908
690.827,1.0223188,1.0124233,0.9895066,1.0459955,1.0250891,0.980013,1.0277109,0.9825195,689.96,67734.008566915,98170920.875,20946,3176.689,259172.212,699093
614.291,1.0167313,1.033986,0.8887068,1.1829389,1.0802115,0.91315913,1.0766429,0.91014236,613.15,60206.01546489218,98191332.40625,20106,3135.698,256444.9328,671198
611.304,1.0093961,1.0548728,0.9942506,1.0709416,1.0231632,0.9553865,1.0123061,0.94524866,610.56,59964.2129214,98211826.71875,20056,3160.925,259568.9864,654531
601.666,1.0186179,1.0234817,0.98347116,1.0600584,1.028129,0.9698796,1.0271063,0.9689149,600.53,58991.47922586625,98232360.125,19502,3273.412,268730.4354,654584
552.779,1.0124203,1.0067073,0.91872895,1.1093707,1.0535736,0.94970393,1.0553031,0.95126283,549.79,54018.39261746,98252774.0,17376,3261.562,266964.9124,593203
538.644,1.0,1.1707412,0.9764411,1.198988,1.0497371,0.8755193,1.0119199,0.8439783,537.38,52810.00227324625,98273107.0625,20197,3265.568,264836.0208,684094
556.726,1.002468,1.0529797,1.0184771,1.0750824,1.0237666,0.95226806,1.0116445,0.94099253,555.55,54606.90779698906,98293416.96875,20642,3287.244,265871.0509,703891
557.175,1.0177952,1.0681461,1.0008137,1.0880386,1.0300469,0.94670075,1.0182091,0.9358208,557.57,54816.84067720656,98313827.28125,20067,3281.437,267110.5194,661791
561.732,1.0496233,1.0154892,1.0047076,1.0708989,1.0430856,0.97402805,1.0520881,0.9824345,559.91,55058.26003373313,98334125.1875,20630,3261.279,263506.8368,697872
539.702,1.0275091,1.0317595,0.96014786,1.1041448,1.0489471,0.9500086,1.0483996,0.9495128,539.89,53100.66990362469,98354609.09375,17883,3225.445,263150.0403,619453
539.619,1.001154,1.053682,0.9995462,1.0553769,1.0140008,0.9607949,1.0013812,0.9488375,543.83,53499.18952610969,98374840.53125,18847,3284.345,264344.1817,677103
526.439,1.005179,1.0006825,0.9702657,1.0366902,1.0191803,0.9831098,1.0203487,0.98423684,520.16,51181.333172185,98395365.21875,16599,3218.749,262566.4697,613203
524.287,1.0219994,1.0136602,1.0030304,1.0390995,1.0213555,0.98292375,1.0235456,0.98503137,523.01,51472.39278904656,98415695.28125,14982,3264.568,263810.3782,526372
489.951,1.0039903,1.0414739,0.93450916,1.1189079,1.0469699,0.935707,1.0379794,0.92767185,486.25,47864.56714882813,98436127.8125,17841,3333.441,270957.8644,626615
450.116,1.0038176,1.0003222,0.91937333,1.0922015,1.0450261,0.95680696,1.0459846,0.95768464,448.78,44185.26228041563,98456397.96875,17230,3274.586,264771.4928,584055
446.279,1.035355,1.0031875,0.99109024,1.0479926,1.0316446,0.9844007,1.0399879,0.992362,445.93,43913.73753162407,98476750.90625,17283,3258.303,264397.7036,579858
385.968,1.0061105,1.0004017,0.8613915,1.1684754,1.0793592,0.92373294,1.0810306,0.9251633,383.9,37813.05630489063,98497151.09375,17508,3183.492,259874.6018,583673
394.645,1.0387285,1.0468541,1.022648,1.1120247,1.0516987,0.9457512,1.0503594,0.9445468,393.82,38798.21874468313,98517644.46875,18457,3211.951,262829.8108,633616
396.457,1.0555192,1.0052195,1.0036784,1.0649314,1.044289,0.98061615,1.057457,0.9929813,394.07,38830.91219493064,98538107.9375,17025,3189.076,259223.1258,584396
379.607,1.0082417,1.0434353,0.95557755,1.1009415,1.0395266,0.94421595,1.0311446,0.93660253,378.85,37338.81586189063,98558310.3125,15893,3239.618,259619.4056,545141
386.425,1.0226331,1.0055774,1.017714,1.0465528,1.0271598,0.98146975,1.0316111,0.9857229,384.68,37921.2833833825,98578775.5625,16871,3197.879,259753.6379,598505
416.893,1.0049772,1.0098557,1.0763751,1.0923938,1.043049,0.9548287,1.0419432,0.95381653,415.93,41010.350763439055,98599165.15625,19076,3130.326,253904.2585,645977
380.543,1.0023699,1.0139432,0.9137016,1.1123391,1.0503695,0.94428897,1.0475717,0.9417737,378.65,37342.26036308594,98619464.84375,18676,3176.982,256180.9285,628441
383.232,1.0117005,1.0273947,1.008646,1.0484024,1.0198282,0.972745,1.0160552,0.9691462,381.36,37617.37490238,98640064.25,19496,3151.226,257751.3129,695871
370.285,1.006438,1.0091957,0.96748114,1.0498322,1.023691,0.97509974,1.0230726,0.97451055,370.35,36538.9151565375,98660497.25,17769,3256.2,264227.025,647981
385.314,1.0201005,1.0012002,1.0403208,1.0625054,1.0352587,0.9743562,1.0402596,0.979063,384.98,37990.115231245,98680750.25,15831,3235.885,259807.1339,535865
400.508,1.0051984,1.0003657,1.0382768,1.0440558,1.0228125,0.9796531,1.024075,0.9808623,400.72,39551.5090371275,98701110.59375,17233,3191.373,257932.3909,595733
398.526,1.0708333,1.0202658,0.994185,1.0989249,1.0603739,0.9649194,1.0739558,0.9772787,399.02,39391.81511038562,98721405.21875,18630,3088.964,249655.5258,609799
414.243,1.0039711,1.014045,1.0371346,1.0558776,1.02472,0.9704913,1.0222723,0.96817315,415.65,41042.08749089063,98741940.3125,17582,3135.858,255877.335,571388
430.54,1.0,1.0061895,1.0373858,1.0438067,1.0198896,0.9770866,1.0183499,0.97561157,430.42,42509.21610328437,98762176.71875,18496,3146.615,253513.7145,609102
492.941,1.0002373,1.0305406,1.1459453,1.1812234,1.0756223,0.9106002,1.0682633,0.90437025,493.95,48793.55434735313,98782375.4375,21244,3131.514,252079.5961,692606
492.735,1.067544,1.020876,0.9991382,1.09077,1.0555662,0.9677257,1.0680041,0.9791286,494.96,48903.5371335625,98803008.59375,21136,3085.986,254808.1705,730344
501.478,1.0210298,1.0088085,1.0180641,1.04863,1.0269434,0.9793192,1.0301692,0.9823954,502.79,49687.4159033275,98823397.25,18148,3132.315,255080.6519,611188
531.702,1.0,1.0,1.0573139,1.0573139,1.0278586,0.9721414,1.0278586,0.9721414,534.15,52797.41259848438,98843794.0625,18672,3137.467,255100.7545,619985
511.147,1.0039902,1.0217831,0.96066904,1.0678601,1.028455,0.963099,1.0241301,0.959049,511.67,50585.93701079593,98864379.40625,20768,3113.712,256052.3846,664402
502.894,1.0134717,1.0006567,0.98385787,1.0307761,1.018426,0.98801845,1.0217181,0.99121237,503.03,49742.00247336719,98884763.28125,22300,3132.796,255808.7177,742823
524.789,1.0005773,1.0005248,1.0426776,1.043827,1.021463,0.97857493,1.0214823,0.9785935,525.78,52002.27867168562,98905014.78125,22474,3078.159,249352.2209,703293
